file seconds
./sim10_m100_n100_linear.csv 508.00
./sim11_m100_n100_branched.csv 508.18
./sim12_m100_n100_linear.csv 506.95
./sim13_m100_n100_branched.csv 510.29
./sim14_m100_n100_linear.csv 506.85
./sim15_m100_n100_branched.csv 509.46
./sim16_m100_n100_linear.csv 508.19
./sim17_m100_n100_branched.csv 508.95
./sim18_m100_n100_linear.csv 506.62
./sim19_m100_n100_branched.csv 508.71
./sim1_m100_n100_branched.csv 510.22
./sim20_m100_n100_linear.csv 508.63
./sim21_m100_n100_branched.csv 508.18
./sim22_m100_n100_linear.csv 506.54
./sim23_m100_n100_branched.csv 509.14
./sim24_m100_n100_linear.csv 507.73
./sim25_m100_n100_branched.csv 507.99
./sim26_m100_n100_linear.csv 507.13
./sim27_m100_n100_branched.csv 509.54
./sim28_m100_n100_linear.csv 506.97
./sim29_m100_n100_branched.csv 508.01
./sim2_m100_n100_linear.csv 506.88
./sim30_m100_n100_linear.csv 507.02
./sim31_m100_n100_branched.csv 508.01
./sim32_m100_n100_linear.csv 506.92
./sim33_m100_n100_branched.csv 508.81
./sim34_m100_n100_linear.csv 507.74
./sim35_m100_n100_branched.csv 509.46
./sim36_m100_n100_linear.csv 507.02
./sim37_m100_n100_branched.csv 508.18
./sim38_m100_n100_linear.csv 508.36
./sim39_m100_n100_branched.csv 507.78
./sim3_m100_n100_branched.csv 509.52
./sim40_m100_n100_linear.csv 507.03
./sim41_m100_n100_branched.csv 507.86
./sim42_m100_n100_linear.csv 507.45
./sim43_m100_n100_branched.csv 507.08
./sim44_m100_n100_linear.csv 507.20
./sim45_m100_n100_branched.csv 508.34
./sim46_m100_n100_linear.csv 507.43
./sim47_m100_n100_branched.csv 508.16
./sim48_m100_n100_linear.csv 507.41
./sim49_m100_n100_branched.csv 512.16
./sim4_m100_n100_linear.csv 507.81
./sim50_m100_n100_linear.csv 506.88
./sim5_m100_n100_branched.csv 508.95
./sim6_m100_n100_linear.csv 507.53
./sim7_m100_n100_branched.csv 508.12
./sim8_m100_n100_linear.csv 506.66
./sim9_m100_n100_branched.csv 509.20
