"rep","patient","fn","cells","mutations","flips"
10,"AML-58",0.05,8170,3,1280
10,"AML-47",0.05,6497,3,1086
10,"AML-33",0.05,8120,3,1110
10,"AML-8",0.05,4675,3,717
10,"AML-10",0.05,8729,4,1371
10,"AML-2",0.05,7931,5,1834
10,"AML-74",0.05,9279,5,1062
10,"AML-67",0.05,6024,7,1096
10,"AML-69",0.05,7462,3,632
10,"AML-63",0.05,8347,4,1234
10,"AML-62",0.05,4027,6,708
10,"AML-53",0.05,8013,3,591
9,"AML-58",0.05,8170,3,1230
9,"AML-47",0.05,6497,3,1138
9,"AML-33",0.05,8120,3,1092
9,"AML-8",0.05,4675,3,760
9,"AML-10",0.05,8729,4,1373
9,"AML-2",0.05,7931,5,1825
9,"AML-74",0.05,9279,5,990
9,"AML-67",0.05,6024,7,1106
9,"AML-69",0.05,7462,3,650
9,"AML-63",0.05,8347,4,1243
9,"AML-62",0.05,4027,6,770
9,"AML-53",0.05,8013,3,532
8,"AML-58",0.05,8170,3,1304
8,"AML-47",0.05,6497,3,1112
8,"AML-33",0.05,8120,3,1041
8,"AML-8",0.05,4675,3,747
8,"AML-10",0.05,8729,4,1422
8,"AML-2",0.05,7931,5,1827
8,"AML-74",0.05,9279,5,1005
8,"AML-67",0.05,6024,7,1056
8,"AML-69",0.05,7462,3,653
8,"AML-63",0.05,8347,4,1176
8,"AML-62",0.05,4027,6,732
8,"AML-53",0.05,8013,3,526
7,"AML-58",0.05,8170,3,1287
7,"AML-47",0.05,6497,3,1125
7,"AML-33",0.05,8120,3,1043
7,"AML-8",0.05,4675,3,768
7,"AML-10",0.05,8729,4,1502
7,"AML-2",0.05,7931,5,1802
7,"AML-74",0.05,9279,5,1037
7,"AML-67",0.05,6024,7,1067
7,"AML-69",0.05,7462,3,663
7,"AML-63",0.05,8347,4,1218
7,"AML-62",0.05,4027,6,677
7,"AML-53",0.05,8013,3,540
6,"AML-58",0.05,8170,3,1304
6,"AML-47",0.05,6497,3,1140
6,"AML-33",0.05,8120,3,1058
6,"AML-8",0.05,4675,3,701
6,"AML-10",0.05,8729,4,1427
6,"AML-2",0.05,7931,5,1814
6,"AML-74",0.05,9279,5,971
6,"AML-67",0.05,6024,7,1036
6,"AML-69",0.05,7462,3,617
6,"AML-63",0.05,8347,4,1281
6,"AML-62",0.05,4027,6,695
6,"AML-53",0.05,8013,3,571
5,"AML-58",0.05,8170,3,1280
5,"AML-47",0.05,6497,3,1185
5,"AML-33",0.05,8120,3,1090
5,"AML-8",0.05,4675,3,763
5,"AML-10",0.05,8729,4,1427
5,"AML-2",0.05,7931,5,1819
5,"AML-74",0.05,9279,5,1019
5,"AML-67",0.05,6024,7,1079
5,"AML-69",0.05,7462,3,665
5,"AML-63",0.05,8347,4,1249
5,"AML-62",0.05,4027,6,707
5,"AML-53",0.05,8013,3,531
4,"AML-58",0.05,8170,3,1166
4,"AML-47",0.05,6497,3,1087
4,"AML-33",0.05,8120,3,1075
4,"AML-8",0.05,4675,3,742
4,"AML-10",0.05,8729,4,1439
4,"AML-2",0.05,7931,5,1796
4,"AML-74",0.05,9279,5,1039
4,"AML-67",0.05,6024,7,1047
4,"AML-69",0.05,7462,3,690
4,"AML-63",0.05,8347,4,1248
4,"AML-62",0.05,4027,6,721
4,"AML-53",0.05,8013,3,540
3,"AML-58",0.05,8170,3,1319
3,"AML-47",0.05,6497,3,1152
3,"AML-33",0.05,8120,3,1104
3,"AML-8",0.05,4675,3,758
3,"AML-10",0.05,8729,4,1428
3,"AML-2",0.05,7931,5,1866
3,"AML-74",0.05,9279,5,1070
3,"AML-67",0.05,6024,7,1081
3,"AML-69",0.05,7462,3,691
3,"AML-63",0.05,8347,4,1219
3,"AML-62",0.05,4027,6,748
3,"AML-53",0.05,8013,3,548
2,"AML-58",0.05,8170,3,1260
2,"AML-47",0.05,6497,3,1148
2,"AML-33",0.05,8120,3,1112
2,"AML-8",0.05,4675,3,779
2,"AML-10",0.05,8729,4,1464
2,"AML-2",0.05,7931,5,1842
2,"AML-74",0.05,9279,5,1021
2,"AML-67",0.05,6024,7,1042
2,"AML-69",0.05,7462,3,630
2,"AML-63",0.05,8347,4,1228
2,"AML-62",0.05,4027,6,741
2,"AML-53",0.05,8013,3,555
1,"AML-58",0.05,8170,3,1276
1,"AML-47",0.05,6497,3,1132
1,"AML-33",0.05,8120,3,1094
1,"AML-8",0.05,4675,3,762
1,"AML-10",0.05,8729,4,1366
1,"AML-2",0.05,7931,5,1874
1,"AML-74",0.05,9279,5,946
1,"AML-67",0.05,6024,7,1026
1,"AML-69",0.05,7462,3,644
1,"AML-63",0.05,8347,4,1243
1,"AML-62",0.05,4027,6,746
1,"AML-53",0.05,8013,3,581
